accession,experiment,experiment,instrument,run,spots,bases,size,published
SRR5720229,SRX2937325,SRX2937325[accn],NextSeq 550,SRR5720229,"33,805,701",10.1G,4.2Gb,5/1/18
SRR5720286,SRX2937268,SRX2937268[accn],NextSeq 550,SRR5720286,"12,732,789",3.8G,1.5Gb,5/1/18
SRR5720286,SRX2937268,SRX2937268[accn],NextSeq 550,SRR5720286,"12,732,789",3.8G,1.5Gb,5/1/18
SRR5720285,SRX2937269,SRX2937269[accn],NextSeq 550,SRR5720285,"40,710,568",12.2G,4.9Gb,5/1/18
SRR5720285,SRX2937269,SRX2937269[accn],NextSeq 550,SRR5720285,"40,710,568",12.2G,4.9Gb,5/1/18
SRR5720255,SRX2937299,SRX2937299[accn],NextSeq 550,SRR5720255,"37,218,319",11.2G,4.6Gb,5/1/18
SRR5720255,SRX2937299,SRX2937299[accn],NextSeq 550,SRR5720255,"37,218,319",11.2G,4.6Gb,5/1/18
SRR5720256,SRX2937298,SRX2937298[accn],NextSeq 550,SRR5720256,"35,777,935",10.7G,4.4Gb,5/1/18
SRR5720256,SRX2937298,SRX2937298[accn],NextSeq 550,SRR5720256,"35,777,935",10.7G,4.4Gb,5/1/18
SRR5720249,SRX2937305,SRX2937305[accn],NextSeq 550,SRR5720249,"42,389,421",12.7G,5.1Gb,5/1/18
SRR5720249,SRX2937305,SRX2937305[accn],NextSeq 550,SRR5720249,"42,389,421",12.7G,5.1Gb,5/1/18
SRR5720250,SRX2937304,SRX2937304[accn],NextSeq 550,SRR5720250,"47,629,264",14.3G,5.8Gb,5/1/18
SRR5720250,SRX2937304,SRX2937304[accn],NextSeq 550,SRR5720250,"47,629,264",14.3G,5.8Gb,5/1/18
SRR5720251,SRX2937303,SRX2937303[accn],NextSeq 550,SRR5720251,"17,374,067",5.2G,2.2Gb,5/1/18
SRR5720251,SRX2937303,SRX2937303[accn],NextSeq 550,SRR5720251,"17,374,067",5.2G,2.2Gb,5/1/18
SRR5720252,SRX2937302,SRX2937302[accn],NextSeq 550,SRR5720252,"30,163,252",9G,3.7Gb,5/1/18
SRR5720252,SRX2937302,SRX2937302[accn],NextSeq 550,SRR5720252,"30,163,252",9G,3.7Gb,5/1/18
SRR5720344,SRX2937210,SRX2937210[accn],NextSeq 550,SRR5720344,"23,249,078",7G,2.9Gb,5/1/18
SRR5720344,SRX2937210,SRX2937210[accn],NextSeq 550,SRR5720344,"23,249,078",7G,2.9Gb,5/1/18
SRR5720307,SRX2937247,SRX2937247[accn],NextSeq 550,SRR5720307,"18,278,548",5.5G,2.2Gb,5/1/18
SRR5720307,SRX2937247,SRX2937247[accn],NextSeq 550,SRR5720307,"18,278,548",5.5G,2.2Gb,5/1/18
SRR5720280,SRX2937274,SRX2937274[accn],NextSeq 550,SRR5720280,"37,895,083",11.4G,4.9Gb,5/1/18
SRR5720280,SRX2937274,SRX2937274[accn],NextSeq 550,SRR5720280,"37,895,083",11.4G,4.9Gb,5/1/18
SRR5720279,SRX2937275,SRX2937275[accn],NextSeq 550,SRR5720279,"31,018,220",9.3G,4Gb,5/1/18
SRR5720279,SRX2937275,SRX2937275[accn],NextSeq 550,SRR5720279,"31,018,220",9.3G,4Gb,5/1/18
SRR5720278,SRX2937276,SRX2937276[accn],NextSeq 550,SRR5720278,"24,861,137",7.5G,3.2Gb,5/1/18
SRR5720278,SRX2937276,SRX2937276[accn],NextSeq 550,SRR5720278,"24,861,137",7.5G,3.2Gb,5/1/18
SRR5720277,SRX2937277,SRX2937277[accn],NextSeq 550,SRR5720277,"30,565,919",9.2G,3.9Gb,5/1/18
SRR5720277,SRX2937277,SRX2937277[accn],NextSeq 550,SRR5720277,"30,565,919",9.2G,3.9Gb,5/1/18
SRR5720284,SRX2937270,SRX2937270[accn],NextSeq 550,SRR5720284,"32,686,035",9.8G,4.2Gb,5/1/18
SRR5720284,SRX2937270,SRX2937270[accn],NextSeq 550,SRR5720284,"32,686,035",9.8G,4.2Gb,5/1/18
SRR5720283,SRX2937271,SRX2937271[accn],NextSeq 550,SRR5720283,"21,770,198",6.5G,2.6Gb,5/1/18
SRR5720283,SRX2937271,SRX2937271[accn],NextSeq 550,SRR5720283,"21,770,198",6.5G,2.6Gb,5/1/18
SRR5720282,SRX2937272,SRX2937272[accn],NextSeq 550,SRR5720282,"31,485,248",9.4G,4Gb,5/1/18
SRR5720282,SRX2937272,SRX2937272[accn],NextSeq 550,SRR5720282,"31,485,248",9.4G,4Gb,5/1/18
SRR5720281,SRX2937273,SRX2937273[accn],NextSeq 550,SRR5720281,"33,845,957",10.2G,4.4Gb,5/1/18
SRR5720281,SRX2937273,SRX2937273[accn],NextSeq 550,SRR5720281,"33,845,957",10.2G,4.4Gb,5/1/18
SRR5720276,SRX2937278,SRX2937278[accn],NextSeq 550,SRR5720276,"24,558,490",7.4G,3.2Gb,5/1/18
SRR5720276,SRX2937278,SRX2937278[accn],NextSeq 550,SRR5720276,"24,558,490",7.4G,3.2Gb,5/1/18
SRR5720275,SRX2937279,SRX2937279[accn],NextSeq 550,SRR5720275,"39,505,982",11.9G,5Gb,5/1/18
SRR5720275,SRX2937279,SRX2937279[accn],NextSeq 550,SRR5720275,"39,505,982",11.9G,5Gb,5/1/18
SRR5720261,SRX2937293,SRX2937293[accn],NextSeq 550,SRR5720261,"29,153,986",8.7G,3.7Gb,5/1/18
SRR5720261,SRX2937293,SRX2937293[accn],NextSeq 550,SRR5720261,"29,153,986",8.7G,3.7Gb,5/1/18
SRR5720262,SRX2937292,SRX2937292[accn],NextSeq 550,SRR5720262,"22,769,159",6.8G,2.9Gb,5/1/18
SRR5720262,SRX2937292,SRX2937292[accn],NextSeq 550,SRR5720262,"22,769,159",6.8G,2.9Gb,5/1/18
SRR5720263,SRX2937291,SRX2937291[accn],NextSeq 550,SRR5720263,"31,385,119",9.4G,4Gb,5/1/18
SRR5720263,SRX2937291,SRX2937291[accn],NextSeq 550,SRR5720263,"31,385,119",9.4G,4Gb,5/1/18
SRR5720264,SRX2937290,SRX2937290[accn],NextSeq 550,SRR5720264,"18,682,062",5.6G,2.4Gb,5/1/18
SRR5720264,SRX2937290,SRX2937290[accn],NextSeq 550,SRR5720264,"18,682,062",5.6G,2.4Gb,5/1/18
SRR5720257,SRX2937297,SRX2937297[accn],NextSeq 550,SRR5720257,"14,907,037",4.5G,1.7Gb,5/1/18
SRR5720257,SRX2937297,SRX2937297[accn],NextSeq 550,SRR5720257,"14,907,037",4.5G,1.7Gb,5/1/18
SRR5720258,SRX2937296,SRX2937296[accn],NextSeq 550,SRR5720258,"21,495,920",6.4G,2.5Gb,5/1/18
SRR5720258,SRX2937296,SRX2937296[accn],NextSeq 550,SRR5720258,"21,495,920",6.4G,2.5Gb,5/1/18
SRR5720259,SRX2937295,SRX2937295[accn],NextSeq 550,SRR5720259,"64,480,797",19.3G,8.3Gb,5/1/18
SRR5720259,SRX2937295,SRX2937295[accn],NextSeq 550,SRR5720259,"64,480,797",19.3G,8.3Gb,5/1/18
SRR5720260,SRX2937294,SRX2937294[accn],NextSeq 550,SRR5720260,"12,568,946",3.8G,1.5Gb,5/1/18
SRR5720260,SRX2937294,SRX2937294[accn],NextSeq 550,SRR5720260,"12,568,946",3.8G,1.5Gb,5/1/18
SRR5720253,SRX2937301,SRX2937301[accn],NextSeq 550,SRR5720253,"20,315,575",6.1G,2.3Gb,5/1/18
SRR5720253,SRX2937301,SRX2937301[accn],NextSeq 550,SRR5720253,"20,315,575",6.1G,2.3Gb,5/1/18
SRR5720254,SRX2937300,SRX2937300[accn],NextSeq 550,SRR5720254,"51,753,735",15.5G,6.7Gb,5/1/18
SRR5720254,SRX2937300,SRX2937300[accn],NextSeq 550,SRR5720254,"51,753,735",15.5G,6.7Gb,5/1/18
SRR5720321,SRX2937233,SRX2937233[accn],NextSeq 550,SRR5720321,"22,106,643",6.6G,2.6Gb,5/1/18
SRR5720321,SRX2937233,SRX2937233[accn],NextSeq 550,SRR5720321,"22,106,643",6.6G,2.6Gb,5/1/18
SRR5720320,SRX2937234,SRX2937234[accn],NextSeq 550,SRR5720320,"52,129,751",15.6G,6.7Gb,5/1/18
SRR5720320,SRX2937234,SRX2937234[accn],NextSeq 550,SRR5720320,"52,129,751",15.6G,6.7Gb,5/1/18
SRR5720323,SRX2937231,SRX2937231[accn],NextSeq 550,SRR5720323,"37,421,267",11.2G,4.4Gb,5/1/18
SRR5720323,SRX2937231,SRX2937231[accn],NextSeq 550,SRR5720323,"37,421,267",11.2G,4.4Gb,5/1/18
SRR5720322,SRX2937232,SRX2937232[accn],NextSeq 550,SRR5720322,"32,403,141",9.7G,3.8Gb,5/1/18
SRR5720322,SRX2937232,SRX2937232[accn],NextSeq 550,SRR5720322,"32,403,141",9.7G,3.8Gb,5/1/18
SRR5720319,SRX2937235,SRX2937235[accn],NextSeq 550,SRR5720319,"33,499,189",10G,3.9Gb,5/1/18
SRR5720319,SRX2937235,SRX2937235[accn],NextSeq 550,SRR5720319,"33,499,189",10G,3.9Gb,5/1/18
SRR5720318,SRX2937236,SRX2937236[accn],NextSeq 550,SRR5720318,"34,361,585",10.3G,4Gb,5/1/18
SRR5720318,SRX2937236,SRX2937236[accn],NextSeq 550,SRR5720318,"34,361,585",10.3G,4Gb,5/1/18
SRR6507279,SRX3595720,SRX3595720[accn],NextSeq 550,SRR6507279,"50,232,751",15.1G,5.8Gb,5/1/18
SRR6507279,SRX3595720,SRX3595720[accn],NextSeq 550,SRR6507279,"50,232,751",15.1G,5.8Gb,5/1/18
SRR6507280,SRX3595719,SRX3595719[accn],NextSeq 550,SRR6507280,"86,024,360",25.8G,9.8Gb,5/1/18
SRR6507280,SRX3595719,SRX3595719[accn],NextSeq 550,SRR6507280,"86,024,360",25.8G,9.8Gb,5/1/18
ERR986581,ERX1067839,ERX1067839[accn],454 GS FLX Titanium,ERR986581,"339,209",189.2M,407.7Mb,8/23/15
ERR986582,ERX1067840,ERX1067840[accn],454 GS FLX Titanium,ERR986582,"424,775",228.7M,496.6Mb,8/23/15
ERR986584,ERX1067842,ERX1067842[accn],454 GS FLX Titanium,ERR986584,"288,735",158.2M,340.4Mb,8/23/15
ERR986585,ERX1067843,ERX1067843[accn],454 GS FLX Titanium,ERR986585,"209,811",110.5M,240.5Mb,8/23/15
ERR986587,ERX1067845,ERX1067845[accn],454 GS FLX Titanium,ERR986587,"145,482",77.8M,171.2Mb,8/23/15
ERR986588,ERX1067846,ERX1067846[accn],454 GS FLX Titanium,ERR986588,"386,358",207.6M,447Mb,8/23/15
ERR986589,ERX1067847,ERX1067847[accn],454 GS FLX Titanium,ERR986589,"347,468",258.6M,487.9Mb,8/23/15
ERR986591,ERX1067849,ERX1067849[accn],454 GS FLX Titanium,ERR986591,"440,618",235.3M,517Mb,8/23/15
ERR986592,ERX1067850,ERX1067850[accn],454 GS FLX Titanium,ERR986592,"228,192",120.2M,259.5Mb,8/23/15
ERR986593,ERX1067851,ERX1067851[accn],454 GS FLX Titanium,ERR986593,"214,648",152.3M,294.9Mb,8/23/15
ERR986595,ERX1067853,ERX1067853[accn],454 GS FLX Titanium,ERR986595,"341,501",216.9M,446.8Mb,8/23/15
