experiment,instrument,run,spots,bases,size,published
SRX556053[accn],454 GS FLX Titanium,SRR1303797,"1,287,422",748.9M,1.6Gb,2014-09-01
SRX556054[accn],454 GS FLX Titanium,SRR1303798,"1,285,087",725.6M,1.6Gb,2014-09-01
SRX556055[accn],454 GS FLX Titanium,SRR1303799,"1,483,312",861.7M,1.8Gb,2014-09-01
SRX556056[accn],454 GS FLX Titanium,SRR1303800,"1,401,015",819.9M,1.8Gb,2014-09-01
SRX556057[accn],454 GS FLX Titanium,SRR1303801,"1,227,923",694.8M,1.5Gb,2014-09-01
SRX556058[accn],454 GS FLX Titanium,SRR1303802,"1,396,027",781M,1.7Gb,2014-09-01
SRX556059[accn],454 GS FLX Titanium,SRR1303803,"827,349",299.8M,196.7Mb,2014-09-01
SRX556060[accn],454 GS FLX Titanium,SRR1303804,"1,335,291",751.3M,1.6Gb,2014-09-01
SRX556061[accn],454 GS FLX Titanium,SRR1303805,"1,240,320",696M,1.5Gb,2014-09-01
SRX556062[accn],454 GS FLX Titanium,SRR1303806,"1,314,705",732.8M,1.6Gb,2014-09-01
SRX556063[accn],454 GS FLX Titanium,SRR1304300,"735,819",320M,203Mb,2014-09-01
SRX556064[accn],454 GS FLX Titanium,SRR1303808,"1,274,934",727.8M,1.6Gb,2014-09-01
SRX556065[accn],454 GS FLX Titanium,SRR1303809,"1,323,648",736.5M,1.6Gb,2014-09-01
SRX556066[accn],454 GS FLX Titanium,SRR1303810,"1,192,032",668.2M,1.4Gb,2014-09-01
SRX556067[accn],454 GS FLX Titanium,SRR1303811,"1,141,282",661.3M,1.4Gb,2014-06-06
SRX556068[accn],454 GS FLX,SRR1303812,"438,710",118.1M,232.7Mb,2014-09-01
SRX556069[accn],454 GS FLX Titanium,SRR1303813,"1,501,500",874.5M,1.8Gb,2014-09-01
SRX556070[accn],454 GS FLX Titanium,SRR1303814,"1,360,099",863.8M,1.7Gb,2014-09-01
SRX556071[accn],454 GS FLX Titanium,SRR1303839,"280,574",77.7M,155.1Mb,2014-09-01
SRX556071[accn],454 GS FLX Titanium,SRR1303815,"716,304",400.7M,863.4Mb,2014-09-01
SRX556072[accn],454 GS FLX Titanium,SRR1303816,"1,413,409",801.7M,1.7Gb,2014-09-01
SRX556073[accn],454 GS FLX Titanium,SRR1303817,"1,408,527",762.1M,1.6Gb,2014-09-01
SRX556074[accn],454 GS FLX Titanium,SRR1303818,"1,415,106",771.1M,1.7Gb,2014-09-01
SRX556075[accn],454 GS FLX Titanium,SRR1303819,"1,370,839",764.1M,1.6Gb,2014-09-01
SRX556076[accn],454 GS FLX Titanium,SRR1303820,"1,102,756",608.7M,1.3Gb,2014-09-01
SRX556077[accn],454 GS FLX Titanium,SRR1303821,"1,612,307",890.4M,1.9Gb,2014-09-01
SRX556078[accn],454 GS FLX Titanium,SRR1303822,"1,536,047",840.1M,1.8Gb,2014-09-01
SRX556079[accn],454 GS FLX Titanium,SRR1303823,"1,420,051",765.8M,1.6Gb,2014-09-01
SRX556080[accn],454 GS FLX Titanium,SRR1303824,"797,239",287.7M,189.5Mb,2014-09-01
SRX556081[accn],454 GS FLX Titanium,SRR1303825,"1,344,950",736.3M,1.6Gb,2014-09-01
SRX556082[accn],454 GS FLX Titanium,SRR1303826,"1,319,863",726.3M,1.6Gb,2014-09-01
SRX556083[accn],454 GS FLX Titanium,SRR1303827,"1,328,252",731.5M,1.5Gb,2014-09-01
SRX556084[accn],454 GS FLX Titanium,SRR1303828,"749,095",315.4M,202.8Mb,2014-09-01
SRX556085[accn],454 GS FLX Titanium,SRR1303829,"1,261,128",707.7M,1.5Gb,2014-09-01
SRX556086[accn],454 GS FLX Titanium,SRR1303830,"1,229,047",682.8M,1.5Gb,2014-09-01
SRX556087[accn],454 GS FLX Titanium,SRR1303831,"1,127,853",613.1M,1.3Gb,2014-09-01
SRX556088[accn],454 GS FLX Titanium,SRR1303832,"1,355,403",753.6M,1.6Gb,2014-06-06
SRX007372[accn],454 GS FLX,SRR020494,"133,377",25.7M,71.7Mb,2009-10-01
SRX007372[accn],454 GS FLX,SRR020494,"133,377",25.7M,71.7Mb,2009-10-01
SRX007369[accn],454 GS FLX,SRR020489,"210,906",40.2M,112.3Mb,2009-10-01
SRX007369[accn],454 GS FLX,SRR020488,"462,768",124M,293.8Mb,2009-10-01
SRX007370[accn],454 GS FLX,SRR020490,"473,166",127.2M,256.4Mb,2009-10-01
SRX007371[accn],454 GS FLX,SRR020492,"472,501",129.2M,266.1Mb,2009-10-01
SRX007371[accn],454 GS FLX,SRR020491,"523,246",145.2M,290.6Mb,2009-10-01
ERX714271[accn],Illumina MiSeq,ERR771028,"876,551",288.2M,167.7Mb,2015-03-04
ERX714271[accn],Illumina MiSeq,ERR771028,"876,551",288.2M,167.7Mb,2015-03-04
ERX714272[accn],Illumina MiSeq,ERR771029,"1,093,072",486.3M,280.9Mb,2015-03-04
ERX714272[accn],Illumina MiSeq,ERR771029,"1,093,072",486.3M,280.9Mb,2015-03-04
ERX714273[accn],Illumina MiSeq,ERR771030,"1,350,976",722.9M,432.9Mb,2015-03-04
ERX714273[accn],Illumina MiSeq,ERR771030,"1,350,976",722.9M,432.9Mb,2015-03-04
ERX714274[accn],Illumina MiSeq,ERR771031,"1,003,156",363.9M,206.1Mb,2015-03-04
ERX714275[accn],Illumina MiSeq,ERR771032,"1,419,443",775.7M,464.7Mb,2015-03-04
ERX714275[accn],Illumina MiSeq,ERR771032,"1,419,443",775.7M,464.7Mb,2015-03-04
ERX714276[accn],Illumina MiSeq,ERR771034,"890,154",363.7M,210.9Mb,2015-03-04
ERX714276[accn],Illumina MiSeq,ERR771034,"890,154",363.7M,210.9Mb,2015-03-04
ERX714277[accn],Illumina MiSeq,ERR771035,"810,387",314.9M,176.7Mb,2015-03-04
ERX714277[accn],Illumina MiSeq,ERR771035,"810,387",314.9M,176.7Mb,2015-03-04
ERX714278[accn],Illumina MiSeq,ERR771036,"1,104,185",509.2M,292.8Mb,2015-03-04
ERX714278[accn],Illumina MiSeq,ERR771036,"1,104,185",509.2M,292.8Mb,2015-03-04
ERX714280[accn],Illumina MiSeq,ERR771037,"814,807",300M,168.9Mb,2015-03-04
ERX714280[accn],Illumina MiSeq,ERR771037,"814,807",300M,168.9Mb,2015-03-04
ERX714281[accn],Illumina MiSeq,ERR771038,"808,487",333.5M,188.3Mb,2015-03-04
ERX714281[accn],Illumina MiSeq,ERR771038,"808,487",333.5M,188.3Mb,2015-03-04
ERX714282[accn],Illumina MiSeq,ERR771039,"2,208,992",760.7M,407Mb,2015-03-04
ERX714282[accn],Illumina MiSeq,ERR771039,"2,208,992",760.7M,407Mb,2015-03-04
ERX714283[accn],Illumina MiSeq,ERR771040,"3,892,674",2.2G,1.1Gb,2015-03-04
ERX714283[accn],Illumina MiSeq,ERR771040,"3,892,674",2.2G,1.1Gb,2015-03-04
ERX714284[accn],Illumina MiSeq,ERR771041,"1,863,360",681.6M,368.7Mb,2015-03-04
ERX714284[accn],Illumina MiSeq,ERR771041,"1,863,360",681.6M,368.7Mb,2015-03-04
ERX714279[accn],Illumina MiSeq,ERR771042,"2,115,871",890M,504.3Mb,2015-03-04
ERX714279[accn],Illumina MiSeq,ERR771042,"2,115,871",890M,504.3Mb,2015-03-04
ERX714227[accn],Illumina MiSeq,ERR771044,"1,753,038",628.3M,336.5Mb,2015-03-04
ERX714227[accn],Illumina MiSeq,ERR771044,"1,753,038",628.3M,336.5Mb,2015-03-04
ERX714285[accn],Illumina MiSeq,ERR771045,"3,213,436",1.8G,1Gb,2015-03-04
ERX714285[accn],Illumina MiSeq,ERR771045,"3,213,436",1.8G,1Gb,2015-03-04
ERX714286[accn],Illumina MiSeq,ERR771046,"2,689,087",944.5M,526.7Mb,2015-03-04
ERX714286[accn],Illumina MiSeq,ERR771046,"2,689,087",944.5M,526.7Mb,2015-03-04
ERX714288[accn],Illumina MiSeq,ERR771047,"2,520,820",883M,496.6Mb,2015-03-04
ERX714288[accn],Illumina MiSeq,ERR771047,"2,520,820",883M,496.6Mb,2015-03-04
ERX714291[accn],Illumina MiSeq,ERR771048,"2,495,795",818.7M,436.5Mb,2015-03-04
ERX714291[accn],Illumina MiSeq,ERR771048,"2,495,795",818.7M,436.5Mb,2015-03-04
ERX714290[accn],Illumina MiSeq,ERR771049,"2,211,344",742.4M,401.5Mb,2015-03-04
ERX714290[accn],Illumina MiSeq,ERR771049,"2,211,344",742.4M,401.5Mb,2015-03-04
ERX714289[accn],Illumina MiSeq,ERR771050,"1,998,924",743.8M,397.7Mb,2015-03-04
ERX714289[accn],Illumina MiSeq,ERR771050,"1,998,924",743.8M,397.7Mb,2015-03-04
ERX714358[accn],Illumina MiSeq,ERR771051,"1,676,120",602.5M,329.2Mb,2015-03-04
ERX714358[accn],Illumina MiSeq,ERR771051,"1,676,120",602.5M,329.2Mb,2015-03-04
ERX714347[accn],Illumina MiSeq,ERR771052,"2,549,378",1.4G,877.7Mb,2015-03-04
ERX714347[accn],Illumina MiSeq,ERR771052,"2,549,378",1.4G,877.7Mb,2015-03-04
ERX714225[accn],Illumina MiSeq,ERR771053,"2,429,091",1G,594Mb,2015-03-04
ERX714225[accn],Illumina MiSeq,ERR771053,"2,429,091",1G,594Mb,2015-03-04
ERX714228[accn],Illumina MiSeq,ERR771054,"2,259,913",1.1G,679.4Mb,2015-03-04
ERX714228[accn],Illumina MiSeq,ERR771054,"2,259,913",1.1G,679.4Mb,2015-03-04
ERX714231[accn],Illumina MiSeq,ERR771055,"2,195,792",849M,463.7Mb,2015-03-04
ERX714231[accn],Illumina MiSeq,ERR771055,"2,195,792",849M,463.7Mb,2015-03-04
ERX714260[accn],Illumina MiSeq,ERR771056,"2,170,231",905.5M,512.4Mb,2015-03-04
ERX714260[accn],Illumina MiSeq,ERR771056,"2,170,231",905.5M,512.4Mb,2015-03-04
